"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0072001";"renal system development";"33/190";"329/18888";0,100303951367781;9,97126859702448;16,5476084295555;1,48678075563208e-23;5,28401880551643e-20;3,7732930545568e-20;"COL4A4/COL4A3/LAMB2/SGPL1/PTPRO/NUP133/PAX2/WT1/NUP160/CD2AP/NUP107/PLCE1/MYO1E/JAG1/NUP85/ITGA3/SEC61A1/REN/NPHS1/NPHS2/MAGI2/LAMA5/FOXC2/HNF1B/MME/NPHP3/MYOCD/KANK2/UMOD/GATA3/TREX1/RET/NF1";33
"GO:0001822";"kidney development";"32/190";"319/18888";0,100313479623824;9,97221580597261;16,2915163017896;7,42284818898896e-23;1,31904012318334e-19;9,41920367560652e-20;"COL4A4/COL4A3/LAMB2/SGPL1/PTPRO/NUP133/PAX2/WT1/NUP160/CD2AP/NUP107/PLCE1/MYO1E/JAG1/NUP85/ITGA3/SEC61A1/REN/NPHS1/NPHS2/MAGI2/LAMA5/FOXC2/HNF1B/MME/NPHP3/KANK2/UMOD/GATA3/TREX1/RET/NF1";32
"GO:0072006";"nephron development";"24/190";"158/18888";0,151898734177215;15,1003331112592;17,9411278242811;1,23072214324732e-21;1,45799549903366e-18;1,04114774995414e-18;"COL4A4/COL4A3/LAMB2/PTPRO/NUP133/PAX2/WT1/NUP160/NUP107/PLCE1/MYO1E/JAG1/NUP85/ITGA3/SEC61A1/NPHS1/NPHS2/MAGI2/LAMA5/FOXC2/HNF1B/UMOD/GATA3/RET";24
"GO:0002460";"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains";"29/190";"385/18888";0,0753246753246753;7,48806561859193;12,9653796080075;2,38192350722983e-17;2,1163390361737e-14;1,51126778313977e-14;"C1QA/C3/JAG1/EMP2/WAS/IL12A/C4A/HLA-B/IL10/IL23R/TLR4/STAT4/FOXP3/CFI/CD81/ADA/JAK1/PRKCD/GATA3/TREX1/FCGR2A/FCGR2B/FCGR3B/HLA-DRB1/IGHG1/TNFAIP3/CR2/TNFSF4/C4B";29
"GO:0002443";"leukocyte mediated immunity";"29/190";"469/18888";0,0618336886993603;6,1469195376501;11,3778836733142;4,37706786719783e-15;3,11121984000422e-12;2,22170750059241e-12;"C1QA/C3/JAG1/EMP2/DNASE1L3/WAS/IL12A/C4A/KLRC4/HLA-B/IL10/IL23R/TLR4/FOXP3/CFI/CD81/PRKCD/GATA3/TREX1/FCGR2A/FCGR2B/DNASE1/FCGR3B/HLA-DRB1/IGHG1/CR2/TNFSF4/C4B/ITGAM";29
"GO:0032835";"glomerulus development";"14/190";"71/18888";0,197183098591549;19,6020756115641;15,8298245043809;9,77208334116149e-15;5,78833069908133e-12;4,1334198132527e-12;"COL4A4/COL4A3/LAMB2/PTPRO/PAX2/WT1/PLCE1/MYO1E/JAG1/NPHS1/NPHS2/MAGI2/FOXC2/RET";14
"GO:0002449";"lymphocyte mediated immunity";"25/190";"372/18888";0,0672043010752688;6,68081494057725;11,1549913702077;6,12851437294307e-14;3,11153429734852e-11;2,22193205310763e-11;"C1QA/C3/JAG1/EMP2/WAS/IL12A/C4A/KLRC4/HLA-B/IL10/IL23R/FOXP3/CFI/CD81/PRKCD/GATA3/TREX1/FCGR2A/FCGR2B/FCGR3B/HLA-DRB1/IGHG1/CR2/TNFSF4/C4B";25
"GO:0061318";"renal filtration cell differentiation";"9/190";"22/18888";0,409090909090909;40,6679425837321;18,7660044177324;3,8743770587404e-13;1,5299484518626e-10;1,09252901621323e-10;"LAMB2/PTPRO/WT1/MYO1E/JAG1/NPHS1/NPHS2/MAGI2/FOXC2";9
"GO:0072112";"podocyte differentiation";"9/190";"22/18888";0,409090909090909;40,6679425837321;18,7660044177324;3,8743770587404e-13;1,5299484518626e-10;1,09252901621323e-10;"LAMB2/PTPRO/WT1/MYO1E/JAG1/NPHS1/NPHS2/MAGI2/FOXC2";9
"GO:0072311";"glomerular epithelial cell differentiation";"9/190";"23/18888";0,391304347826087;38,8997711670481;18,3329694159691;6,31015533945106e-13;2,24262920764091e-10;1,6014510024649e-10;"LAMB2/PTPRO/WT1/MYO1E/JAG1/NPHS1/NPHS2/MAGI2/FOXC2";9
