"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0090435";"GO:0090435";"protein localization to nuclear envelope";"2/2";"12/18888";0,166666666666667;1574;56,0906995714786;3,70019810860674e-07;2,66414263819685e-05;NA;"LMNB2/LMNA";2
"GO:0007097";"GO:0007097";"nuclear migration";"2/2";"25/18888";0,08;755,52;38,8473924810062;1,68190823118488e-06;6,05486963226557e-05;NA;"LMNB2/LMNA";2
"GO:0051647";"GO:0051647";"nucleus localization";"2/2";"33/18888";0,0606060606060606;572,363636363636;33,8051442728385;2,96015848688539e-06;7,10438036852494e-05;NA;"LMNB2/LMNA";2
"GO:0006998";"GO:0006998";"nuclear envelope organization";"2/2";"55/18888";0,0363636363636364;343,418181818182;26,1700711734805;8,32544574436515e-06;0,000149858023398573;NA;"LMNB2/LMNA";2
"GO:0031507";"GO:0031507";"heterochromatin formation";"2/2";"105/18888";0,019047619047619;179,885714285714;18,9153475333931;3,06107298075648e-05;0,000440794509228933;NA;"LMNB2/LMNA";2
"GO:0045814";"GO:0045814";"negative regulation of gene expression, epigenetic";"2/2";"135/18888";0,0148148148148148;139,911111111111;16,6684412200828;5,07095331702241e-05;0,000512292428136602;NA;"LMNB2/LMNA";2
"GO:0070828";"GO:0070828";"heterochromatin organization";"2/2";"141/18888";0,0141843971631206;133,957446808511;16,3073288314715;5,53347808059825e-05;0,000512292428136602;NA;"LMNB2/LMNA";2
"GO:0006997";"GO:0006997";"nucleus organization";"2/2";"143/18888";0,013986013986014;132,083916083916;16,1920262402322;5,69213809040669e-05;0,000512292428136602;NA;"LMNB2/LMNA";2
"GO:0031503";"GO:0031503";"protein-containing complex localization";"2/2";"191/18888";0,0104712041884817;98,8900523560209;13,9925148249543;0,000101727416182832;0,000813819329462656;NA;"LMNB2/LMNA";2
"GO:0040029";"GO:0040029";"epigenetic regulation of gene expression";"2/2";"220/18888";0,00909090909090909;85,8545454545454;13,0275890663755;0,000135057230964146;0,000972412062941851;NA;"LMNB2/LMNA";2
"GO:0034504";"GO:0034504";"protein localization to nucleus";"2/2";"311/18888";0,00643086816720257;60,7331189710611;10,9303505704419;0,000270254620947557;0,00176893933711128;NA;"LMNB2/LMNA";2
"GO:0051656";"GO:0051656";"establishment of organelle localization";"2/2";"472/18888";0,00423728813559322;40,0169491525424;8,83391363685393;0,000623180637818622;0,00373908382691173;NA;"LMNB2/LMNA";2
"GO:0014745";"GO:0014745";"negative regulation of muscle adaptation";"1/2";"10/18888";0,1;944,4;30,7074940485805;0,00105862107251131;0,00544433694434389;NA;"LMNA";1
"GO:0055015";"GO:0055015";"ventricular cardiac muscle cell development";"1/2";"10/18888";0,1;944,4;30,7074940485805;0,00105862107251131;0,00544433694434389;NA;"LMNA";1
"GO:0055012";"GO:0055012";"ventricular cardiac muscle cell differentiation";"1/2";"14/18888";0,0714285714285714;674,571428571429;25,9443141770126;0,00148191252341467;0,00711318011239044;NA;"LMNA";1
"GO:0010612";"GO:0010612";"regulation of cardiac muscle adaptation";"1/2";"18/18888";0,0555555555555556;524,666666666667;22,8734528424317;0,00190511427254547;0,00806871927195729;NA;"LMNA";1
"GO:1903242";"GO:1903242";"regulation of cardiac muscle hypertrophy in response to stress";"1/2";"18/18888";0,0555555555555556;524,666666666667;22,8734528424317;0,00190511427254547;0,00806871927195729;NA;"LMNA";1
"GO:0090201";"GO:0090201";"negative regulation of release of cytochrome c from mitochondria";"1/2";"20/18888";0,05;472,2;21,6962082689463;0,00211668150894606;0,00846672603578424;NA;"LMNA";1
"GO:0003299";"GO:0003299";"muscle hypertrophy in response to stress";"1/2";"32/18888";0,03125;295,125;17,1359678983114;0,00338561399304571;0,0114261444830481;NA;"LMNA";1
"GO:0014887";"GO:0014887";"cardiac muscle adaptation";"1/2";"32/18888";0,03125;295,125;17,1359678983114;0,00338561399304571;0,0114261444830481;NA;"LMNA";1
"GO:0014898";"GO:0014898";"cardiac muscle hypertrophy in response to stress";"1/2";"32/18888";0,03125;295,125;17,1359678983114;0,00338561399304571;0,0114261444830481;NA;"LMNA";1
"GO:0010464";"GO:0010464";"regulation of mesenchymal cell proliferation";"1/2";"33/18888";0,0303030303030303;286,181818181818;16,8729892734915;0,00349132192537582;0,0114261444830481;NA;"LMNA";1
"GO:0010614";"GO:0010614";"negative regulation of cardiac muscle hypertrophy";"1/2";"35/18888";0,0285714285714286;269,828571428571;16,3811998191575;0,0037027209709537;0,0115911265177681;NA;"LMNA";1
"GO:0014741";"GO:0014741";"negative regulation of muscle hypertrophy";"1/2";"37/18888";0,027027027027027;255,243243243243;15,9297727603431;0,00391409759108796;0,0117422927732639;NA;"LMNA";1
"GO:0090199";"GO:0090199";"regulation of release of cytochrome c from mitochondria";"1/2";"44/18888";0,0227272727272727;214,636363636364;14,5996170016336;0,00465373916119483;0,0131798210322329;NA;"LMNA";1
