"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0050853";"GO:0050853";"B cell receptor signaling pathway";"2/2";"78/18888";0,0256410256410256;242,153846153846;21,9620861975845;1,68359013941607e-05;0,0010269899850438;3,54440029350751e-05;"BLK/BANK1";2
"GO:0050851";"GO:0050851";"antigen receptor-mediated signaling pathway";"2/2";"208/18888";0,00961538461538462;90,8076923076923;13,402421240944;0,000120693734669827;0,00312790780909319;0,000107951951996314;"BLK/BANK1";2
"GO:0018108";"GO:0018108";"peptidyl-tyrosine phosphorylation";"2/2";"269/18888";0,00743494423791822;70,2156133828996;11,7659915263797;0,000202086880337634;0,00312790780909319;0,000107951951996314;"BLK/BANK1";2
"GO:0018212";"GO:0018212";"peptidyl-tyrosine modification";"2/2";"271/18888";0,00738007380073801;69,6974169741697;11,7218645660633;0,000205108708792996;0,00312790780909319;0,000107951951996314;"BLK/BANK1";2
"GO:0002429";"GO:0002429";"immune response-activating cell surface receptor signaling pathway";"2/2";"332/18888";0,00602409638554217;56,8915662650602;10,5730341608216;0,000308047098902281;0,00368321083547177;0,000127116853683236;"BLK/BANK1";2
"GO:0002768";"GO:0002768";"immune response-regulating cell surface receptor signaling pathway";"2/2";"360/18888";0,00555555555555556;52,4666666666667;10,1458752002311;0,000362283032997223;0,00368321083547177;0,000127116853683236;"BLK/BANK1";2
"GO:0002757";"GO:0002757";"immune response-activating signaling pathway";"2/2";"500/18888";0,004;37,776;8,57647331512464;0,00069939350613438;0,00609471483917102;0,000210343911619362;"BLK/BANK1";2
"GO:0045947";"GO:0045947";"negative regulation of translational initiation";"1/2";"22/18888";0,0454545454545455;429,272727272727;20,6832289698362;0,00232822631990359;0,0177527256892649;0,000612691136816735;"BANK1";1
"GO:0050869";"GO:0050869";"negative regulation of B cell activation";"1/2";"33/18888";0,0303030303030303;286,181818181818;16,8729892734915;0,00349132192537582;0,0236634041608806;0,000816683491315982;"BANK1";1
"GO:0032092";"GO:0032092";"positive regulation of protein binding";"1/2";"54/18888";0,0185185185185185;174,888888888889;13,1681245193937;0,00570989343496719;0,0348303499532999;0,00120208282841415;"BLK";1
"GO:0051898";"GO:0051898";"negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction";"1/2";"66/18888";0,0151515151515152;143,090909090909;11,8995865300909;0,00697653852387259;0,0365368017106661;0,0012609767630946;"BANK1";1
"GO:0032715";"GO:0032715";"negative regulation of interleukin-6 production";"1/2";"68/18888";0,0147058823529412;138,882352941176;11,7214092122705;0,00718756754963923;0,0365368017106661;0,0012609767630946;"BANK1";1
"GO:0006446";"GO:0006446";"regulation of translational initiation";"1/2";"84/18888";0,0119047619047619;112,428571428571;10,5326482283209;0,00887499243982237;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0032024";"GO:0032024";"positive regulation of insulin secretion";"1/2";"86/18888";0,0116279069767442;109,813953488372;10,4077843821573;0,0090858196366016;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0090277";"GO:0090277";"positive regulation of peptide hormone secretion";"1/2";"111/18888";0,00900900900900901;85,0810810810811;9,14267261466404;0,0117192674495794;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0002793";"GO:0002793";"positive regulation of peptide secretion";"1/2";"113/18888";0,00884955752212389;83,5752212389381;9,05994351762811;0,0119297919028769;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0051099";"GO:0051099";"positive regulation of binding";"1/2";"115/18888";0,00869565217391304;82,1217391304348;8,97936919080148;0,012140293930731;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0006413";"GO:0006413";"translational initiation";"1/2";"124/18888";0,00806451612903226;76,1612903225806;8,64109645578786;0,0130872755412174;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0043393";"GO:0043393";"regulation of protein binding";"1/2";"130/18888";0,00769230769230769;72,6461538461539;8,43524666829938;0,0137183443286403;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0050864";"GO:0050864";"regulation of B cell activation";"1/2";"130/18888";0,00769230769230769;72,6461538461539;8,43524666829938;0,0137183443286403;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0046887";"GO:0046887";"positive regulation of hormone secretion";"1/2";"144/18888";0,00694444444444444;65,5833333333333;8,0056584945856;0,0151900532754525;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0050714";"GO:0050714";"positive regulation of protein secretion";"1/2";"147/18888";0,00680272108843537;64,2448979591837;7,92162498141509;0,015505276516141;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0050731";"GO:0050731";"positive regulation of peptidyl-tyrosine phosphorylation";"1/2";"164/18888";0,00609756097560976;57,5853658536585;7,48950700454256;0,0172905884653791;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0051250";"GO:0051250";"negative regulation of lymphocyte activation";"1/2";"165/18888";0,00606060606060606;57,2363636363636;7,46617180453521;0,0173955563580874;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0050796";"GO:0050796";"regulation of insulin secretion";"1/2";"167/18888";0,00598802395209581;56,5508982035928;7,42012625072577;0,0176054753244218;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0032635";"GO:0032635";"interleukin-6 production";"1/2";"176/18888";0,00568181818181818;53,6590909090909;7,22264188566783;0,0185498331580671;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0032675";"GO:0032675";"regulation of interleukin-6 production";"1/2";"176/18888";0,00568181818181818;53,6590909090909;7,22264188566783;0,0185498331580671;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0002695";"GO:0002695";"negative regulation of leukocyte activation";"1/2";"192/18888";0,00520833333333333;49,1875;6,90616826312576;0,0202275702568386;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0090276";"GO:0090276";"regulation of peptide hormone secretion";"1/2";"197/18888";0,0050761421319797;47,9390862944162;6,81519004910274;0,0207515687662644;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0002791";"GO:0002791";"regulation of peptide secretion";"1/2";"200/18888";0,005;47,22;6,7622312997682;0,0210659005955905;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0030073";"GO:0030073";"insulin secretion";"1/2";"200/18888";0,005;47,22;6,7622312997682;0,0210659005955905;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0090087";"GO:0090087";"regulation of peptide transport";"1/2";"202/18888";0,00495049504950495;46,7524752475247;6,72757584391209;0,0212754271166709;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0017148";"GO:0017148";"negative regulation of translation";"1/2";"206/18888";0,00485436893203883;45,8446601941748;6,65976890229897;0,0216944128825022;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0050866";"GO:0050866";"negative regulation of cell activation";"1/2";"215/18888";0,00465116279069767;43,9255813953488;6,51410662172854;0,0226368028835171;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0050730";"GO:0050730";"regulation of peptidyl-tyrosine phosphorylation";"1/2";"225/18888";0,00444444444444444;41,9733333333333;6,36250773327076;0,0236833702803719;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0034249";"GO:0034249";"negative regulation of amide metabolic process";"1/2";"234/18888";0,00427350427350427;40,3589743589744;6,23436479192561;0,0246248015936954;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0051098";"GO:0051098";"regulation of binding";"1/2";"238/18888";0,00420168067226891;39,6806722689076;6,17973097656459;0,0250430697453482;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0030072";"GO:0030072";"peptide hormone secretion";"1/2";"242/18888";0,00413223140495868;39,0247933884298;6,1264402363929;0,0254612481952282;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0002790";"GO:0002790";"peptide secretion";"1/2";"247/18888";0,00404858299595142;38,2348178137652;6,06163248865946;0,0259838451144615;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0051222";"GO:0051222";"positive regulation of protein transport";"1/2";"251/18888";0,00398406374501992;37,6254980079681;6,01116836395728;0,026401821735354;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0051896";"GO:0051896";"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction";"1/2";"253/18888";0,00395256916996047;37,3280632411067;5,98638028963114;0,0266107764076353;0,0388007134616271;0,00133911004181629;"BANK1";1
"GO:0046883";"GO:0046883";"regulation of hormone secretion";"1/2";"254/18888";0,00393700787401575;37,1811023622047;5,97409470213842;0,0267152453342351;0,0388007134616271;0,00133911004181629;"BLK";1
"GO:0050708";"GO:0050708";"regulation of protein secretion";"1/2";"269/18888";0,00371747211895911;35,1078066914498;5,79800055075639;0,0282816064699378;0,0394979981387981;0,00136317508675748;"BLK";1
"GO:0015833";"GO:0015833";"peptide transport";"1/2";"271/18888";0,003690036900369;34,8487084870849;5,77561710611262;0,0284903593132314;0,0394979981387981;0,00136317508675748;"BLK";1
"GO:0042113";"GO:0042113";"B cell activation";"1/2";"278/18888";0,00359712230215827;33,9712230215827;5,69915887192167;0,029220817664396;0,0396104417228479;0,00136705579716472;"BANK1";1
"GO:1903532";"GO:1903532";"positive regulation of secretion by cell";"1/2";"288/18888";0,00347222222222222;32,7916666666667;5,59473555077729;0,0302638530539655;0,0399731177243593;0,00137957265657841;"BLK";1
"GO:0043491";"GO:0043491";"phosphatidylinositol 3-kinase/protein kinase B signal transduction";"1/2";"299/18888";0,00334448160535117;31,5852842809365;5,4858837110729;0,0314105444478225;0,0399731177243593;0,00137957265657841;"BANK1";1
"GO:0046879";"GO:0046879";"hormone secretion";"1/2";"311/18888";0,00321543408360129;30,3665594855305;5,3736820670639;0,0326607068360621;0,0399731177243593;0,00137957265657841;"BLK";1
"GO:0042886";"GO:0042886";"amide transport";"1/2";"312/18888";0,00320512820512821;30,2692307692308;5,36462043919341;0,0327648505937371;0,0399731177243593;0,00137957265657841;"BLK";1
"GO:0051047";"GO:0051047";"positive regulation of secretion";"1/2";"312/18888";0,00320512820512821;30,2692307692308;5,36462043919341;0,0327648505937371;0,0399731177243593;0,00137957265657841;"BLK";1
"GO:0009914";"GO:0009914";"hormone transport";"1/2";"322/18888";0,0031055900621118;29,3291925465838;5,27629967940587;0,0338059798206445;0,040145360510224;0,00138551718758323;"BLK";1
"GO:1904951";"GO:1904951";"positive regulation of establishment of protein localization";"1/2";"326/18888";0,00306748466257669;28,9693251533742;5,24209514225936;0,0342222745333057;0,040145360510224;0,00138551718758323;"BLK";1
"GO:0009306";"GO:0009306";"protein secretion";"1/2";"370/18888";0,0027027027027027;25,5243243243243;4,90261024389823;0,0387955960556068;0,0435030546649104;0,00150139964331011;"BLK";1
"GO:0035592";"GO:0035592";"establishment of protein localization to extracellular region";"1/2";"371/18888";0,00269541778975741;25,455525606469;4,89559111712469;0,0388994090379963;0,0435030546649104;0,00150139964331011;"BLK";1
"GO:0071692";"GO:0071692";"protein localization to extracellular region";"1/2";"379/18888";0,00263852242744063;24,9182058047493;4,84042194300605;0,0397297110681242;0,0435030546649104;0,00150139964331011;"BLK";1
"GO:0001818";"GO:0001818";"negative regulation of cytokine production";"1/2";"381/18888";0,0026246719160105;24,7874015748031;4,82689637068668;0,0399372305120489;0,0435030546649104;0,00150139964331011;"BANK1";1
"GO:0051223";"GO:0051223";"regulation of protein transport";"1/2";"440/18888";0,00227272727272727;21,4636363636364;4,46952116754253;0,0460489654616106;0,0492804718097938;0,00170079281483326;"BLK";1
"GO:0006417";"GO:0006417";"regulation of translation";"1/2";"451/18888";0,00221729490022173;20,940133037694;4,41060017077142;0,0471862830202595;0,0496269528316522;0,00171275074483701;"BANK1";1
